bom.csv,,,,,,,,,,LCSC BOM Quotation,,,,,,,,,,,,,,,
,,,,,,,,,,BOM Date Created?25/04/26 21:10:33,,,,BOM Export Date: 25/04/26 21:10:59,,,,"The matching result is a real-time query result, availability and prices may fluctuate.  
Backorder items are estimated prices for your reference, please submit ""Create Quote"" to get the real price.
All information is provided ""as is"" and is subject to change without notice.  Any use made of the information provided is without recourse to LCSC and at the user's risk.",,,,,,,
,,,,,,,,,,"EST TOTAL :$13.22
",,,,Website?https://www.lcsc.com/bom,,,,,,,,,,,
Uploaded data,,,,,,,,,,LCSC Matching Results,,,,,,,,,,,,,,,
LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(USD),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
"C14663,100nF",,,,0603,,-,9,,,CC0603KRX7R9BB104,YAGEO,100,0.0030,0.30,C14663,0603,100,100,4000,4000,In Stock,,100nF ±10% 50V Ceramic Capacitor X7R 0603,Partial Matches,https://www.lcsc.com/product-detail/C14663.html
"C15849,1uF",,,,0603,,-,3,,,CL10A105KB8NNNC,Samsung Electro-Mechanics,50,0.0078,0.39,C15849,0603,50,50,4000,291950,In Stock,,1uF ±10% 50V Ceramic Capacitor X5R 0603,Partial Matches,https://www.lcsc.com/product-detail/C15849.html
"C1653,22pF",,,,0603,,-,2,,,CL10C220JB8NNNC,Samsung Electro-Mechanics,100,0.0036,0.36,C1653,0603,100,100,4000,3169100,In Stock,,22pF ±5% 50V Ceramic Capacitor C0G 0603,Partial Matches,https://www.lcsc.com/product-detail/C1653.html
"C19702,10uF",,,,0603,,-,6,,,CL10A106KP8NNNC,Samsung Electro-Mechanics,50,0.0080,0.40,C19702,0603,50,50,4000,3393500,In Stock,,10uF ±10% 10V Ceramic Capacitor X5R 0603,Partial Matches,https://www.lcsc.com/product-detail/C19702.html
"C23630,2.2uF",,,,0603,,-,6,,,CL10A225KO8NNNC,Samsung Electro-Mechanics,50,0.0063,0.32,C23630,0603,50,50,4000,2373850,In Stock,,2.2uF ±10% 16V Ceramic Capacitor X5R 0603,Partial Matches,https://www.lcsc.com/product-detail/C23630.html
"C57112,10nF",,,,0603,,-,1,,,0603B103K500NT,FH,100,0.0030,0.30,C57112,0603,100,100,4000,1412600,In Stock,,10nF ±10% 50V Ceramic Capacitor X7R 0603,Partial Matches,https://www.lcsc.com/product-detail/C57112.html
"C431535,undefined",,,,SMD,,-,1,,,PJ-320D,SHOU HAN,10,0.0504,0.50,C431535,SMD,10,10,1000,65280,In Stock,,3.5mm Headphone Jack 0.5A 30V Surface Mount,Partial Matches,https://www.lcsc.com/product-detail/C431535.html
"C82544,undefined",,,,SOD-123,,-,1,,,1N5819HW-7-F,DIODES,20,0.0335,0.67,C82544,SOD-123,20,20,3000,205680,In Stock,,40V 1 Independent 450mV@1A 1A SOD-123 Single Diodes RoHS,Partial Matches,https://www.lcsc.com/product-detail/C82544.html
"C19077500,undefined",,,,SOD-123FL,,-,3,,,SMF6.0CA,R+O,20,0.0308,0.62,C19077500,SOD-123FL,20,20,3000,750000,In Stock,,10.3VC Clamp 19.4A@10/1000us Ipp TVS DIODE SOD-123FL,Partial Matches,https://www.lcsc.com/product-detail/C19077500.html
"C82942,undefined",,,,SOT-23-5,,-,3,,,ME6211C33M5G-N,MICRONE,10,0.0497,0.50,C82942,SOT-23-5,10,10,3000,164670,In Stock,,"3.3V Positive Fixed SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",Partial Matches,https://www.lcsc.com/product-detail/C82942.html
"C23345,22?",,,,0603,,-,2,,,0603WAF220JT5E,UNI-ROYAL,100,0.0016,0.16,C23345,0603,100,100,5000,861900,In Stock,,22? ±1% 100mW 0603 Thick Film Resistor,Partial Matches,https://www.lcsc.com/product-detail/C23345.html
